ID_SAMPLE,SOIL_TYPE,AGRICULTURAL_TYPE,STATE,MUNICIPALITY,X_COORD,Y_COORD,BRIGADE,pH,ELECTRICAL_CONDUCTIVITY,ORGANIC_MATTER,BULK_DENSITY,P,SAND_PERCENT,SILT_PERCENT,CLAY_PERCENT,TEXTURE,TEXTURE_CLASS,N,K,Ca,Mg,Na,CEC,REL_ABS_Na,ESP
1,Vertisol,Temporal,BAJA CALIFORNIA,Playas de Rosarito,32.39701,-117.02849,Mexicali,7,1.4,2.4,1.4,21,26.2,32,41.8,Arcilla,Arcillosa,0.1,0.7,18.8,18.2,1.4,58.6,0.1,0
2,Fluvisol,Temporal,BAJA CALIFORNIA,Playas de Rosarito,32.32574,-117.01967,Mexicali,7.3,0.4,1.3,1.3,10.5,22.2,28,49.8,Arcilla,Arcillosa,0.1,1,16.5,24.7,0.8,63.5,0,0
5,Feozem,Temporal,BAJA CALIFORNIA,Ensenada,32.05538,-116.81692,Mexicali,6,1.1,1.2,1.4,6.3,56.2,28,15.8,Migajon Arenoso,Franco arenosa y franco,0.1,0.7,5,2.1,0.7,15.7,0.2,0
6,Feozem,Temporal,BAJA CALIFORNIA,Ensenada,31.9914,-116.72451,Mexicali,8.3,0.4,3.2,1.3,4.2,38.2,12,49.8,Arcilla,Arcillosa,0.1,1.1,53.6,3.1,0.4,62.4,0,0
7,Regosol,Temporal,BAJA CALIFORNIA,Ensenada,31.99873,-116.64077,Mexicali,6.5,0.9,1.2,1.7,5.2,58.2,28,13.8,Migajon Arenoso,Franco arenosa y franco,0.1,1.2,5.6,1.2,0.1,17.8,0,0
9,Regosol,Temporal,BAJA CALIFORNIA,Ensenada,31.86325,-116.53998,Mexicali,6.6,0.5,1.6,1.7,6.3,60.2,26,13.8,Migajon Arenoso,Franco arenosa y franco,0.1,0.6,4.4,0.8,0.1,24.9,0,0
10,Planosol,Temporal,BAJA CALIFORNIA,Ensenada,31.89197,-116.20526,Mexicali,7.7,3.1,0.7,1.7,17.8,80.2,10,9.8,Arena Migajosa,Arena y Areno franco,0.1,0.8,5.6,1.1,0.4,9.1,0.1,0
15,Planosol,Temporal,BAJA CALIFORNIA,Ensenada,30.88378,-116.17279,Mexicali,7.9,10.1,1.6,1.7,8.4,58.2,14,27.8,Migajon Arcillo Arenoso,Franco arcillo arenoso y Franco arcilloso,0.1,1.3,15.4,5.5,12.4,19.7,1.1,0.6
17,Xerosol,Temporal,CHIHUAHUA,Janos,30.79204,-108.30519,Juarez,7.6,0.5,2.6,1.2,25.2,20.2,40,39.8,Arcilla Limosa,Arcillo arenosa y Arcillo limosa,0.1,1.5,26.1,7.1,0.3,36.3,0,0
72,Fluvisol,Temporal,CHIHUAHUA,Chihuahua,29.04981,-106.40798,Chihuahua,7.6,0.7,5.9,1.2,86.6,42.2,16,41.8,Arcilla,Arcillosa,0.2,4.3,26.4,8.4,0.1,26.4,0,0
