LabID,STATE,MUNICIPALITY,p_bray,k,ca,stratum,x,y
1147,JALISCO,Totatiche,0,1,2.6,29,-103.5252220239286,21.850396392478412
1148,ZACATECAS,Atolinga,0,0.5,4.1,29,-103.37026263742077,21.850396392478412
1150,ZACATECAS,Tabasco,2.1,1.7,46.9,3,-102.98174127704598,21.854887968899025
1152,AGUASCALIENTES,Jesus María,15.7,1,7.2,16,-102.51461732931216,21.85713375710933
1154,AGUASCALIENTES,El Llano,15.2,1,3.8,16,-102.1260959689374,21.85713375710933
1156,JALISCO,Ojuelos de Jalisco,139.6,1.9,9.7,16,-101.5803694338445,21.85713375710933
1157,ZACATECAS,Pinos,25.9,2.1,6.6,16,-101.5040126346957,21.85713375710933
1158,SAN LUIS POTOSI,Villa de Arriaga,40.9,2.3,2.6,16,-101.42541004733664,21.85713375710933
1159,SAN LUIS POTOSI,Villa de Reyes,4,0.7,5.4,16,-101.11324548611069,21.854887968899025
1160,SAN LUIS POTOSI,Rioverde,18.9,1.2,85,22,-100.02628399234544,21.843659027847497
1161,SAN LUIS POTOSI,Rayon,4.2,1.4,70.4,30,-99.6355168437604,21.83916745142688
1162,SAN LUIS POTOSI,Rayon,8.4,0.7,44,30,-99.5591600446116,21.836921663216575
1164,SAN LUIS POTOSI,Ciudad Valles,3.1,1.1,43.6,12,-98.85847412301086,21.82569272216504
1166,Nayarit,Santiago Ixcuintla,15,1.5,12.7,21,-105.07930746542768,21.75382749943524
1170,ZACATECAS,Atolinga,4,0.8,3.8,29,-103.44661943656956,21.778531169748607
1171,ZACATECAS,Huanusco,4.2,1.1,34.2,3,-102.97949548883572,21.780776957958913
1172,AGUASCALIENTES,Aguascalientes,26.3,0.6,1.5,16,-102.1260959689374,21.78526853437953
1173,JALISCO,Ojuelos de Jalisco,10.1,1.2,3.7,16,-101.8139314077114,21.78526853437953
1174,GUANAJUATO,Ocampo,9,2.1,5.9,16,-101.5040126346957,21.78302274616922
1175,GUANAJUATO,Ocampo,10,1.5,1.3,16,-101.42541004733664,21.78302274616922
1176,GUANAJUATO,San Felipe,15,1.4,6,16,-101.34680745997758,21.78302274616922
1179,SAN LUIS POTOSI,Tanlajas,6.3,0.7,56.3,12,-98.78211732386204,21.75158171122493
1181,VERACRUZ,El Higo,10.1,1,60.8,18,-98.47219855084634,21.74484434659401
1182,VERACRUZ,El Higo,6.1,1.2,69.9,18,-98.39359596348729,21.742598558383705
1185,Nayarit,Santiago Ixcuintla,38,5.1,17.5,17,-105.38698045023314,21.675224912074512
1186,Nayarit,San Blas,24,2.7,25.1,17,-105.31062365108434,21.677470700284815
