pid,hid,hor_no,top,bottom,hor_code,hor_mk,mak,caco3,humus,total_N,ph_h2o,ph_kcl,ap,ak,Y1,sum_bases,cec,base_sat,bd,Real_density,h_water,porosity,wp,fc,ret_cap,air_cap,coarse_frag,clay,silt,Fine_sand,Coarse_sand,total,sand
P2054,P2054H01,1,0,20,NA,NA,NA,0.08,3,NA,6.8,5.9,11.2,15.8,NA,NA,0,NA,1.42,2.78,4.09,48.92,13.66,33.71,47.37,NA,NA,26.3,36.5,35.3,1.9,99.99999999999999,37.199999999999996
P2054,P2054H02,2,20,57,NA,NA,NA,0.28,2.5,NA,7.2,6.6,9.4,16.4,NA,NA,0,NA,1.36,2.71,8.32,49.81,NA,NA,48.77,NA,NA,33.8,46,18.3,1.9,100,20.2
P2054,P2054H03,3,81,99,NA,NA,NA,6,1.3,NA,7.8,6.9,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.8,54.75,29.35,3.1,100,32.45
P2055,P2055H01,1,0,27,NA,NA,NA,0.12,1.9,NA,5.9,5,11.2,12.2,NA,NA,0,NA,1.53,2.68,2.48,42.91,11.35,16.76,28.11,NA,NA,15.8,36.25,44.05,3.9,99.99999999999999,47.949999999999996
P2055,P2055H02,2,55,85,NA,NA,NA,0.12,1.3,NA,6.8,5.6,NA,NA,NA,NA,0,NA,1.72,2.76,2.7,37.68,NA,NA,32.02,NA,NA,21.3,16,53.2,9.5,100,62.7
P2055,P2055H03,3,92,127,NA,NA,NA,0.28,1.6,NA,7.3,6.5,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.8,66.75,8.45,8,100,16.45
P2056,P2056H01,1,0,40,NA,NA,NA,0.6,1.7,NA,6.2,5.5,13.4,8.6,NA,NA,0,NA,1.79,2.67,0.8,32.95,4.5,NA,30.12,NA,NA,7.05,12,44.25,36.7,100,80.95
P2056,P2056H02,2,40,81,NA,NA,NA,0.28,4,NA,6.8,6.1,NA,NA,NA,NA,0,NA,1.78,2.64,2.13,32.57,NA,NA,26.84,NA,3.35,4.55,16.25,39.7,39.5,100,79.2
P2056,P2056H03,3,81,119,NA,NA,NA,3.2,1,NA,7,6.2,NA,NA,NA,NA,0,NA,NA,NA,2.21,NA,NA,NA,NA,NA,NA,2.8,24.25,47.25,25.7,100,72.95
P2059,P2059H01,1,0,30,NA,NA,NA,3.28,1.9,NA,6.9,6.2,7.4,7,NA,NA,0,NA,1.39,2.81,2.56,50.53,11.72,35.63,46.35,NA,NA,13.05,36.75,49.6,0.6,100,50.2
P2059,P2059H02,2,60,84,NA,NA,NA,0.08,3.1,NA,5.6,5.3,NA,NA,NA,NA,0,NA,1.39,2.8,7.74,50.35,NA,NA,37.82,NA,NA,26.3,46,27.3,0.4,100,27.7
P2059,P2059H03,3,84,111,NA,NA,NA,0.12,1.9,NA,6.7,6.7,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.55,39.25,24.4,4.8,100,29.2
P2063,P2063H01,1,0,18,NA,NA,NA,0.16,1.8,NA,6.4,5.6,4.4,11.6,NA,NA,0,NA,1.76,2.76,3.02,36.23,13.83,19.29,33.12,NA,NA,12.55,21.75,57.2,8.5,100,65.7
P2063,P2063H02,2,18,53,NA,NA,NA,2,1.2,NA,7.5,6.8,6.2,7.6,NA,NA,0,NA,1.81,2.72,2.04,33.45,NA,NA,30.21,NA,NA,12.55,21.75,57.2,8.5,100,65.7
P2063,P2063H03,3,53,102,NA,NA,NA,0.12,0.6,NA,7.4,6.2,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.26,12.8,14.75,36.95,35.5,100,72.45
P2064,P2064H01,1,0,20,NA,NA,NA,0.6,2.3,NA,8.1,7.1,11.2,17.6,NA,NA,0,NA,1.52,2.8,6.44,45.7,21.5,21.5,38.66,NA,NA,20.55,27.5,48.85,3.1,100,51.95
P2064,P2064H02,2,36,66,NA,NA,NA,0.24,1.2,NA,8,6.8,NA,NA,NA,NA,0,NA,1.63,2.78,5.72,41.36,NA,NA,36.1,NA,NA,3.05,39.75,52.5,4.7,100,57.2
P2064,P2064H03,3,74,94,NA,NA,NA,6,0.6,NA,8.2,7.3,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.8,23,50.2,10,100,60.2
P2066,P2066H01,1,0,30,NA,NA,NA,4,3.7,NA,8.2,6.7,11.6,18.2,NA,NA,0,NA,1.46,2.75,8.81,46.9,24.49,18.06,42.55,NA,NA,35.3,39.75,23.35,1.6,100,24.950000000000003
P2066,P2066H02,2,30,60,NA,NA,NA,10.4,1.5,NA,8.4,7.1,8.2,10.4,NA,NA,0,NA,1.54,2.84,7.88,45.77,NA,NA,43.55,NA,NA,6.05,50,43.25,0.7,100,43.95
P2066,P2066H03,3,60,91,NA,NA,NA,19.2,0.9,NA,8.2,7.3,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.55,26.25,59.2,2,100,61.2
P2068,P2068H01,1,0,20,NA,NA,NA,6,3.7,NA,7.8,6.7,19.4,20.4,NA,NA,0,NA,1.39,2.78,7.06,50,19.62,24.33,43.95,NA,NA,30.8,36.75,28.05,4.4,100,32.45
P2068,P2068H02,2,20,52,NA,NA,NA,4.4,2.4,NA,7.8,7,19,17.2,NA,NA,0,NA,1.35,2.61,5.44,48.87,NA,NA,47.65,NA,NA,28.05,42.75,22.8,6.4,100,29.200000000000003
P2068,P2068H03,3,80,110,NA,NA,NA,10.4,1.7,NA,8.1,7.1,NA,NA,NA,NA,0,NA,1.76,2.74,NA,35.76,NA,NA,33.29,NA,NA,12.3,59.5,18.3,9.9,100,28.200000000000003
