"ProfID","HorID","DepthFrom","DepthTo","CaCO3_perc","OM_perc","pH_H2O","pH_nKCl","P2O5_mg100g","K2O_mg100g","Bulk_density_gcm3","Higroscopic_water","Stones_perc","Sand_perc","Silt_perc","Clay_perc"
"P0857","P0857H01",3,30,11.9,2.4,8.2,7.4,1,25,NA,NA,0,0,0,0
"P0857","P0857H02",30,60,2.6,2.1,8.4,7.3,1,25,NA,NA,0,0,0,0
"P0857","P0857H03",62,90,11.6,1.8,8.6,7.6,1,17.8,NA,NA,0,0,0,0
"P0863","P0863H01",0,18,1.9,3,8.2,7.3,19.2,25,NA,NA,0,0,0,0
"P0863","P0863H02",18,43,1.9,2.5,8,7,6.2,15,NA,NA,0,0,0,0
"P0863","P0863H03",43,85,5.6,1.5,8.2,7.2,1,7.3,NA,NA,0,0,0,0
"P0957","P0957H04",80,110,4,1.6,8,7.6,NA,NA,NA,NA,0,0,0,0
"P4440","P4440H01",0,30,0,3.6,6.2,5.2,11.7,16.6,NA,NA,0,0,0,0
"P5083","P5083H01",0,20,0,2.1,6,NA,NA,NA,NA,NA,0,0,0,NA
"P5083","P5083H02",20,40,0,1.7,6.9,NA,NA,NA,NA,NA,0,0,0,NA
"P5083","P5083H03",40,60,0,2.1,7,NA,NA,NA,NA,NA,0,0,0,NA
"P5085","P5085H01",0,70,12.6,10.5,NA,NA,NA,NA,NA,NA,0,0,0,0
"P5085","P5085H02",70,100,1.8,5.1,NA,NA,NA,NA,NA,NA,0,0,0,0
"P0364","P0364H02",20,50,0,3,7.1,6.1,7.7,25,NA,4.3,1,3,47,50
"P6184","P6184H02",20,57,0,5.5,7.4,6.5,1,25.6,NA,4.8,0,7,30,63
"P0364","P0364H03",50,75,0,2.2,6.6,5.4,1,25,NA,3.6,1,8,47,46
"P1643","P1643H04",80,103,5.6,1.9,7.8,7,12.7,21.1,NA,NA,1,8,64,29
"P6501","P6501H04",100,120,40.4,0.7,8.5,7.8,NA,NA,NA,5.3,1,8,18,74
"P5882","P5882H03",63,91,0,0.9,5.1,4.2,1,15.6,NA,4,0,9,15,77
"P5882","P5882H04",91,115,0,0.6,5.2,4.1,1,14,NA,4.1,0,9,11,80
"P0364","P0364H01",0,20,0,0.9,6.4,5.3,1.7,18.6,NA,4.6,0,10,46,44
"P1020","P1020H03",50,90,0,4.7,6.1,5.5,NA,NA,NA,NA,0,10,68,22
"P1482","P1482H01",0,35,0.2,3.5,7.7,6.9,7.6,NA,NA,8.3,0,11,39,40
"P1967","P1967H05",116,130,0,3.4,7.5,6.8,6.4,8.3,NA,3.5,NA,11,63,26
"P2425","P2425H04",67,97,0.2,1.7,6.6,5.8,NA,NA,NA,3.9,NA,11,66,23
"P4207","P4207H02",30,62,19.9,1.5,8,7.7,1,30.7,NA,2.3,0,11,42,47
"P6356","P6356H01",0,20,0,5.9,6.7,5.8,NA,NA,NA,4.3,10,11,51,39
"P3504","P3504H02",42,63,0,2.1,6.4,5.6,15.3,20,1.7,4.2,NA,12,54,35
"P5609","P5609H04",98,135,5.6,1.4,8,6.8,3.5,20,NA,4,1,12,37,51
"P4212","P4212H03",54,90,53.3,1.6,8.6,7.5,6.4,7,NA,2,2,13,54,33
"P1732","P1732H03",42,85,0,1.2,NA,NA,1,20,NA,4.7,2,14,14,71
"P1753","P1753H02",20,52,0,2.2,NA,NA,4,22.1,NA,5.5,2,14,10,76
"P1967","P1967H04",93,116,0,3.6,7.6,6.9,5.2,8.3,NA,3.6,NA,14,59,27
"P5268","P5268H04",90,130,13.6,1.1,8.5,7.8,2.3,20.6,NA,2.7,0,14,42,44
"P5882","P5882H02",31,63,0,1.3,5.3,4.3,1,19.2,NA,3.7,2,14,20,66
"P6214","P6214H04",85,130,13.6,1.1,8.5,7.8,NA,NA,NA,2.7,0,14,42,44
"P6501","P6501H03",65,100,23.7,1.5,8.3,7.6,NA,NA,NA,6.9,1,14,35,51
"P1483","P1483H01",0,14,0,4.8,7.3,7.1,32.1,NA,NA,8.4,0,16,46,39
