pid,x,y,year,kod_t
P0131,549628.5,4658251.2,1951,009.1
P0132,550002.8,4658936.3,1951,009.223
P0142,551196.5,4658950.4,1951,009.221
P0143,551387.2,4660214.7,1951,009.220
P0148,553781.5,4661810.9,1951,009.233
P0153,553011.7,4663280,1951,009.30
P0164,556084.1,4657926.3,1951,009.203
P0165,557242.4,4659670.9,1951,009.202
P0168,552729.1,4661387.2,1951,009.6
P0175,551535.5,4668167.6,1951,009.42
P0179,552948.1,4666543.1,1951,009.19
P0197,557976.9,4662969.3,1951,009.238
P0231,564474.9,4672737.4,1951,009.117
P0246,558626.8,4668308.9,1951,009.141
P0249,561953.4,4669085.8,1951,009.108
P0255,562991.7,4667207.1,1951,009.259
P0260,563563.8,4664961,1951,009.268
P0280,567081.1,4664353.6,1951,009.289
P0283,567003.4,4667899.2,1951,009.262
P0293,565781.6,4670378.3,1951,009.114
P0295,565569.6,4669290.6,1951,009.133
P0299,567568.5,4665172.9,1951,009.272
P0306,560717.4,4659607.3,1951,009.249
P0307,559424.9,4660009.9,1951,009.248
P0313,555490.8,4655800.3,1951,009.205
P0314,554141.8,4656075.8,1951,009.208
P0319,555540.2,4657410.7,1951,009.210
P2791,638526,4595564.5,1951,135.248
P2792,639202.3,4596486.3,1951,135.247
P2793,639698.3,4596716.7,1951,135.246
P2794,638916.8,4597924,1951,135.240
P2796,640434.7,4597598.4,1951,135.260
P2800,639202.3,4595604.5,1951,135.250
P2801,639643.2,4594963.3,1951,135.251
P2802,637303.6,4594978.3,1951,135.204
P2803,636351.8,4594888.2,1951,135.205
P2804,636447,4594712.8,1951,135.206
P2805,637719.4,4594757.9,1951,135.203
P2808,635089.4,4595779.9,1951,135.219
P2809,634728.6,4596010.3,1951,135.220
P2811,635630.4,4594647.7,1951,135.215
P2812,634924,4594307,1951,135.216
P2813,633581.4,4595113.6,1951,135.218
P2814,632960.2,4592989.5,1951,135.224
P2815,635219.6,4592869.2,1951,135.225
P2818,636837.8,4593530.5,1951,135.211
P2820,637574.2,4593119.7,1951,135.212
P2822,638876.7,4594261.9,1951,135.256
P2824,639563,4593224.9,1951,135.182
P2825,639032,4593265,1951,135.183
P2827,640309.4,4592668.9,1951,135.184
P2828,641206.2,4592864.2,1951,135.196
P2829,640620.1,4592954.4,1951,135.180
