"id","SOC","X","Y","soil","BLD","CRF","OCS","OCSlog","Terrain_attributes.1","avtr","Terrain_attributes.2","Prr","Prr_dry","Prr_wet","Terrain_attributes.4","sd_d_Tr","EVI","NDVI","LandCover","soilmap"
"P0007",3.42227378190255,20.83164687,42.02279237,"Complex of Mollic and Umbric Leptosol",1.1210259629613,22,89.7731116278637,4.49728550539205,2090.80859375,8.36855888366699,15.8313322067261,833.472839355469,155,155,0.962641000747681,529.336669921875,2190.68359375,2190.68359375,"20","13"
"P0008",2.31903960374681,20.82036395,42.050138,"Complex of Mollic and Umbric Leptosol",1.27425612032606,31.8052685950413,60.4556606657217,4.1019102147895,1368.90148925781,9.32736682891846,7.83173561096191,836.173706054688,154,154,0.990931272506714,474.460784912109,3324.47583007812,3324.47583007812,"50","2"
"P0011",2.30879809708338,20.90421495,42.00988324,"Cambisol",1.27566393349759,27.1363167347121,64.3805390439053,4.16481139868285,1494.98181152344,12.2254009246826,11.5774831771851,804.938903808594,145,145,0.980163395404816,501.448913574219,3693.10180664062,3693.10180664062,"50","2"
"P0012",2.70815060933161,20.91869523,42.01554886,"Cambisol",1.24216908805794,22.9170970100323,77.7916256940125,4.35403378649642,1274.08654785156,12.7508325576782,16.3819942474365,801.762023925781,140,140,0.96029257774353,453.957580566406,3741.93872070312,3741.93872070312,"50","2"
"P0013",4.34820475387506,20.88516468,42.00945158,"Complex of Mollic and Umbric Leptosol",1.03086275874447,26.3336021244294,99.0607304455047,4.59573310090138,1761.13244628906,10.1582870483398,6.8653039932251,814.497436523438,153,153,0.993056178092957,556.333984375,2810.24487304688,2810.24487304688,"20","13"
"P0015",4.54092572666348,20.87904475,42.0025483,"Complex of Mollic and Umbric Leptosol",1.0109830873682,16.3006174845629,115.274115244195,4.74731290288826,1756.31140136719,10.3409900665283,9.97076225280762,814.548583984375,153,153,0.984910309314728,542.429016113281,2918.64208984375,2918.64208984375,"20","13"
"P0016",4.56321411373287,20.86027284,42.03044806,"Complex of Mollic and Umbric Leptosol",1.00850657565711,12.3702830188679,120.982413783197,4.79564519439903,1873.14465332031,9.32451725006104,20.2915000915527,820.707214355469,152,152,0.938803315162659,495.2939453125,2452.14306640625,2452.14306640625,"20","13"
"P0018",4.08660817865429,20.96512591,42.09252815,"Complex of Mollic and Umbric Leptosol",1.06435171924162,38.84375,79.8013554251246,4.37954048958877,2039.234375,9.95676136016846,14.5660963058472,786.584167480469,142,142,0.967091858386993,494.196319580078,2281.58154296875,2281.58154296875,"20","13"
"P0019",4.79854542209531,20.99245978,42.0789825,"Cambisol",0.976662498201329,34.151282051282,92.5811776275719,4.52808585562994,1566.37329101562,11.5530862808228,17.5134963989258,777.303161621094,135,135,0.95451158285141,489.926422119141,3083.431640625,3083.431640625,"50","2"
"P0020",4.11832946635731,20.9693792,42.04615973,"Complex of Cambisol, Mollic and Umbric Leptosol and Leptosol",1.04301389294505,44,72.1639774654789,4.27894099432233,984.308837890625,13.7600631713867,11.370903968811,783.034851074219,130,130,0.980742871761322,358.091033935547,3938.18774414062,3938.18774414062,"50","2"
"P0021",3.94431554524362,20.97961468,42.10947672,"Complex of Mollic and Umbric Leptosol",1.06148097826087,44,70.3385075153839,4.25331940867151,1996.38269042969,8.92171382904053,18.568338394165,780.713256835938,141,141,0.9489466547966,505.925445556641,2523.27221679688,2523.27221679688,"30","13"
"P0022",4.58825016710236,21.00528514,42.1044093,"Cambisol",0.996697512977385,15.5695701357466,115.832577092596,4.75214584761841,1297.62841796875,10.7603244781494,6.25360870361328,771.652709960938,135,135,0.994385957717896,442.816284179688,3299.3017578125,3299.3017578125,"50","2"
"P0024",1.33045547470276,21.07214379,42.11186886,"Complex of Cambisol, Mollic and Umbric Leptosol and Leptosol",1.44860896744046,32.8525168815224,38.8241992966762,3.65904374542675,761.144775390625,15.2582874298096,15.1753740310669,750.511413574219,114,114,0.965350270271301,362.769256591797,4255.142578125,4255.142578125,"50","2"
"P0025",0.870069605568445,21.02033792,42.06560129,"Complex of Cambisol, Mollic and Umbric Leptosol and Leptosol",1.54464009885697,39,24.5941825485057,3.20250993320403,862.4794921875,15.1900968551636,18.2982387542725,767.756286621094,120,120,0.949544727802277,348.869140625,4447.548828125,4447.548828125,"50","2"
"P0026",1.72063805259688,21.0057291,42.06668341,"Cambisol",1.38464333976107,42.1906538615982,41.318710209401,3.72131542908373,960.982238769531,14.4477796554565,20.2538013458252,770.851928710938,124,124,0.938334167003632,344.986419677734,4413.244140625,4413.244140625,"50","2"
"P0028",3.93245965627421,21.06526948,42.01170543,"Fluvisol",1.06298153545077,1.99306932671113,122.904572242388,4.81140821882862,409.594818115234,17.6049575805664,0.210338890552521,750.77392578125,106,106,0.999999165534973,465.637908935547,3460.4384765625,3460.4384765625,"14","8"
"P0031",1.68535799765163,21.06804184,42.03015278,"Fluvisol",1.37825924944762,1.47700631507176,68.6565436898228,4.22911644726091,413.079986572266,17.5974903106689,0.791677117347717,748.119323730469,105,105,0.999899208545685,446.441192626953,3513.90771484375,3513.90771484375,"14","8"
"P0033",1.89726572646837,21.02528029,42.03572556,"Fluvisol",1.34445042417153,20.0849215398806,61.1537282149171,4.11339082862983,444.0654296875,16.9488334655762,1.42491185665131,764.089660644531,112,112,0.99966561794281,458.427642822266,3476.955078125,3476.955078125,"20","8"
"P0034",1.84343802384349,21.0377778,42.05103768,"Fluvisol",1.35028646460043,18.9828004490684,60.4996604886161,4.10263775326264,490.168762207031,16.4832038879395,5.3490686416626,761.359619140625,113,113,0.99561619758606,431.768188476562,3387.39770507812,3387.39770507812,"14","8"
"P0036",2.45156420581825,21.07326513,42.07753677,"Fluvisol",1.25435330538544,14.3021729403151,79.0595276447579,4.37020108320811,501.357177734375,16.6436729431152,3.62334418296814,749.714050292969,108,108,0.998051226139069,466.624450683594,3784.33032226562,3784.33032226562,"50","14"
"P0038",2.25955278004035,21.10236686,42.03949133,"Fluvisol",1.2822249973289,9.97878486864438,78.2443262424809,4.35983631870811,398.413543701172,17.4577217102051,0.121275149285793,735.821533203125,103,103,0.999999344348907,461.096771240234,3798.02514648438,3798.02514648438,"50","8"
"P0039",5.9263126850784,21.12283801,42.05729886,"Gleysol",0.902888561341396,1.11377179343838,158.736127016948,5.06724324508455,391.502502441406,17.3622608184814,0.402555376291275,730.252380371094,102,102,0.99998939037323,455.276672363281,3784.2080078125,3784.2080078125,"20","8"
"P0040",2.50922217897222,21.11060353,42.07379729,"Fluvisol",1.24539054508787,13.2862403454903,81.2931501409062,4.39806175889479,403.718078613281,17.4729614257812,0.94750839471817,734.045532226562,101,101,0.999884068965912,449.874816894531,3575.02270507812,3575.02270507812,"130","8"
"P0041",2.62409367087012,21.09188211,42.09772786,"Fluvisol",1.23100898978213,13.9707447181425,83.3696496418907,4.42328432996546,508.428161621094,16.5937194824219,4.09081125259399,744.175109863281,106,106,0.997420489788055,438.557983398438,3875.38720703125,3875.38720703125,"20","8"
"P0042",2.14724631834445,21.09524763,42.11697514,"Fluvisol",1.30002991827209,16.8691368704344,69.6175536657136,4.24301674338204,582.869995117188,15.9003887176514,5.84067583084106,741.761901855469,108,108,0.994729936122894,401.518463134766,4095.4111328125,4095.4111328125,"20","8"
"P0043",2.6770926680964,21.11811552,42.13630288,"Fluvisol",1.22618098346322,16.3578763725134,82.3690935317627,4.41121028805787,694.157470703125,15.4088230133057,6.49223756790161,736.434204101562,108,108,0.993492662906647,352.316680908203,3980.908203125,3980.908203125,"14","10"
"P0044",6.67053364269142,21.1142375,42.01109089,"Rendzic Leptosols",0.830978893136115,29,118.067447722559,4.77125605203897,739.925170898438,17.0120410919189,11.4398221969604,731.656921386719,105,105,0.980137169361115,502.202209472656,2830.55859375,2830.55859375,"130","5"
