"id","clay","X","Y","soil","TMDMOD3","DEMENV5","BARL10","TMNMOD3","NIRL00","TREL10","TWIMRG5","HIST","REDL00","SLPMRG5","B07CHE3","B04CHE3","LandCover","soilmap"
"P0004",14.4396551724138,20.81464328,42.02746619,"Rendzic Leptosols",282,2327,1,272,75,4,61,1.24629783630371,40,13,38.4626197814941,573.881103515625,"20","5"
"P0007",12.8813385207204,20.83164687,42.02279237,"Complex of Mollic and Umbric Leptosol",280,2207,0,270,73,8,62,1,19,36,37.8445739746094,553.1982421875,"20","13"
"P0008",2.20131714876033,20.82036395,42.050138,"Complex of Mollic and Umbric Leptosol",285,1243,0,277,79,29,81,1,22,6,42.0783996582031,692.651916503906,"20","13"
"P0011",2.72687431675702,20.90421495,42.00988324,"Cambisol",287,1492,0,277,102,0,72,1,29,24,41.4602165222168,671.686218261719,"50","13"
"P0012",4.24034918737634,20.91869523,42.01554886,"Cambisol",286,1413,0,277,107,37,68,1.6978440284729,9,15,42.1173477172852,692.646484375,"50","2"
"P0013",1.60424834763762,20.88516468,42.00945158,"Complex of Mollic and Umbric Leptosol",286,1809,1,273,87,0,67,1.01700353622437,53,17,39.7667465209961,616.157653808594,"20","13"
"P0018",0.77900390625,20.96512591,42.09252815,"Complex of Mollic and Umbric Leptosol",286,2033,0,273,85,0,59,1,52,43,39.1050224304199,589.710754394531,"30","13"
"P0019",2.23886181691612,20.99245978,42.0789825,"Cambisol",288,1563,0,277,106,0,61,1.28420388698578,22,30,41.4484329223633,667.490173339844,"20","2"
"P0020",0,20.9693792,42.04615973,"Complex of Cambisol, Mollic and Umbric Leptosol and Leptosol",289,1073,0,280,120,0,65,1.29257678985596,12,55,44.0697135925293,754.033325195312,"50","2"
"P0021",0,20.97961468,42.10947672,"Complex of Mollic and Umbric Leptosol",284,2192,0,272,72,18,60,1.96248912811279,23,48,38.7807884216309,578.012878417969,"20","13"
"P0024",2.9262584407612,21.07214379,42.11186886,"Complex of Cambisol, Mollic and Umbric Leptosol and Leptosol",290,703,0,280,95,7,70,1,22,27,44.4281692504883,761.817016601562,"50","2"
"P0026",1.76727513050462,21.0057291,42.06668341,"Cambisol",289,1002,0,280,98,3,64,1.95057702064514,15,38,44.0301628112793,751.408752441406,"50","2"
"P0027",8.04704942024052,21.01649278,42.00885055,"Fluvisol",292,434,0,280,88,0,93,1,26,1,44.3355293273926,762.492248535156,"14","8"
"P0028",17.04093557258,21.06526948,42.01170543,"Fluvisol",292,406,9,280,75,0,97,1,48,1,44.3751792907715,762.77001953125,"14","8"
"P0031",17.0778297634676,21.06804184,42.03015278,"Fluvisol",291,409,0,279,85,0,96,1.71049857139587,42,1,44.3810882568359,762.540405273438,"20","8"
"P0036",4.75130953757267,21.07326513,42.07753677,"Fluvisol",292,469,0,279,91,0,86,2,27,4,44.3989219665527,761.647766113281,"30","8"
"P0038",8.36397730852846,21.10236686,42.03949133,"Fluvisol",291,393,2,279,96,0,97,1,28,1,44.4130706787109,762.571960449219,"50","8"
"P0040",9.04779083018066,21.11060353,42.07379729,"Fluvisol",291,401,0,279,71,0,90,2,34,2,44.4315719604492,761.904479980469,"20","8"
"P0041",7.09471473565627,21.09188211,42.09772786,"Fluvisol",291,466,1,279,87,0,86,1.0101945400238,42,3,44.4150085449219,761.389221191406,"14","8"
"P0043",12.9577593235831,21.11811552,42.13630288,"Fluvisol",291,663,1,279,69,0,74,1,38,7,44.4691429138184,761.568176269531,"14","10"
"P0044",1,21.1142375,42.01109089,"Rendzic Leptosols",291,808,9,280,58,0,71,0.933900117874146,25,16,44.4633369445801,765.048522949219,"130","5"
"P0045",2,21.13594528,42.0225562,"Rendzic Leptosols",291,895,2,280,72,2,69,0.936282515525818,19,10,44.4314346313477,763.440246582031,"50","5"
"P0049",6,21.24180942,42.03210619,"Rendzic Leptosols",295,485,12,281,74,0,68,0,58,40,44.4838409423828,762.658325195312,"20","5"
"P0050",11.1572957089403,21.3109814,42.0160748,"Complex of Vertisol and Humic Calcaric Regosol",295,322,4,282,71,0,91,0,45,11,44.5181770324707,763.269226074219,"70","17"
