"id","clay","X","Y","soil"
"P0004",14.4396551724138,20.81464328,42.02746619,"Rendzic Leptosols"
"P0007",12.8813385207204,20.83164687,42.02279237,"Complex of Mollic and Umbric Leptosol"
"P0008",2.20131714876033,20.82036395,42.050138,"Complex of Mollic and Umbric Leptosol"
"P0011",2.72687431675702,20.90421495,42.00988324,"Cambisol"
"P0012",4.24034918737634,20.91869523,42.01554886,"Cambisol"
"P0013",1.60424834763762,20.88516468,42.00945158,"Complex of Mollic and Umbric Leptosol"
"P0015",3.32117322066948,20.87904475,42.0025483,"Complex of Mollic and Umbric Leptosol"
"P0022",2.18985671191554,21.00528514,42.1044093,"Cambisol"
"P0024",2.9262584407612,21.07214379,42.11186886,"Complex of Cambisol, Mollic and Umbric Leptosol and Leptosol"
"P0025",1,21.02033792,42.06560129,"Complex of Cambisol, Mollic and Umbric Leptosol and Leptosol"
"P0027",8.04704942024052,21.01649278,42.00885055,"Fluvisol"
"P0028",17.04093557258,21.06526948,42.01170543,"Fluvisol"
"P0030",5.51665658722447,21.00845375,42.019422,"Fluvisol"
"P0031",17.0778297634676,21.06804184,42.03015278,"Fluvisol"
"P0033",3.3595713276828,21.02528029,42.03572556,"Fluvisol"
"P0034",8.00866609764162,21.0377778,42.05103768,"Fluvisol"
"P0035",4.81001884766837,21.05498286,42.06751674,"Fluvisol"
"P0036",4.75130953757267,21.07326513,42.07753677,"Fluvisol"
"P0038",8.36397730852846,21.10236686,42.03949133,"Fluvisol"
"P0039",7.7951600223612,21.12283801,42.05729886,"Gleysol"
"P0040",9.04779083018066,21.11060353,42.07379729,"Fluvisol"
"P0041",7.09471473565627,21.09188211,42.09772786,"Fluvisol"
"P0042",4.13086312956555,21.09524763,42.11697514,"Fluvisol"
"P0043",12.9577593235831,21.11811552,42.13630288,"Fluvisol"
"P0044",1,21.1142375,42.01109089,"Rendzic Leptosols"
"P0045",2,21.13594528,42.0225562,"Rendzic Leptosols"
"P0049",6,21.24180942,42.03210619,"Rendzic Leptosols"
"P0050",11.1572957089403,21.3109814,42.0160748,"Complex of Vertisol and Humic Calcaric Regosol"
"P0051",19.192332507587,21.30169337,42.03841117,"Complex of Vertisol and Humic Calcaric Regosol"
"P0052",17.7894601694299,21.30703313,42.05370353,"Complex of Vertisol and Humic Calcaric Regosol"
"P0056",5,21.2237308,42.08740831,"Complex of Mollic and Umbric Leptosol"
"P0061",12,21.17352048,42.15003513,"Complex of Mollic and Umbric Leptosol"
"P0062",5,21.14053722,42.15550048,"Chromic Luvisol on hard limestones"
"P0063",4.10517068273092,21.09672723,42.13565663,"Complex of Cambisol and Mollic and Umbric Leptosol"
"P0066",1,21.15337156,42.16873744,"Chromic Luvisol on hard limestones"
"P0067",5,21.33791761,42.03412345,"Complex of Vertisol and Humic Calcaric Regosol"
"P0068",14.0452586206897,21.33553417,42.04710498,"Complex of Vertisol and Humic Calcaric Regosol"
"P0069",15,21.33318511,42.06453421,"Complex of Vertisol and Humic Calcaric Regosol"
"P0071",10,21.37959926,42.08522484,"Rendzic Leptosols"
"P0072",10.2535460992908,21.3538251,42.09531938,"Complex of Rendzic Leptosol and Chromic Luvisol on hard limestones"
"P0073",8,21.36570627,42.11383884,"Complex of Rendzic Leptosol and Chromic Luvisol on hard limestones"
"P0074",6.90378179384203,21.37004066,42.12305376,"Complex of Cambisol, Mollic and Umbric Leptosol and Leptosol"
"P0075",6.17123287671233,21.38759426,42.11787269,"Complex of Rendzic Leptosol and Chromic Luvisol on hard limestones"
"P0076",7.07481060606061,21.3745151,42.15582165,"Complex of Cambisol and Mollic and Umbric Leptosol"
"P0077",3.2913961038961,21.37412704,42.16800485,"Complex of Cambisol and Mollic and Umbric Leptosol"
"P0078",11.5212765957447,21.39548719,42.18136662,"Complex of Cambisol and Mollic and Umbric Leptosol"
"P0079",6.10106382978723,21.41940203,42.11821103,"Complex of Rendzic Leptosol and Chromic Luvisol on hard limestones"
"P0080",17.775641025641,21.41735644,42.13267843,"Complex of Rendzic Leptosol and Chromic Luvisol on hard limestones"
"P0082",10.0396742009152,21.43832764,42.13567049,"Complex of Cambisol, Mollic and Umbric Leptosol and Leptosol"
"P0083",3,21.46960166,42.10344855,"Complex of Cambisol, Mollic and Umbric Leptosol and Leptosol"
"P0084",9,21.47745363,42.11058312,"Complex of Cambisol, Mollic and Umbric Leptosol and Leptosol"
"P0085",4,21.5057135,42.08940233,"Complex of Cambisol, Mollic and Umbric Leptosol and Leptosol"
"P0087",7,21.52601467,42.06665761,"Complex of Cambisol, Mollic and Umbric Leptosol and Leptosol"
"P0091",8.58806818181818,21.55551708,42.10340694,"Complex of Cambisol and Mollic and Umbric Leptosol"
"P0092",7.71213320190363,21.57162398,42.11038674,"Complex of Cambisol, Mollic and Umbric Leptosol and Leptosol"
"P0093",11.1063829787234,21.57011451,42.16320973,"Complex of Cambisol, Mollic and Umbric Leptosol and Leptosol"
"P0097",5,21.52483805,42.20236634,"Complex of Cambisol, Mollic and Umbric Leptosol and Leptosol"
"P0100",3.16426701570681,21.42759402,42.2231451,"Complex of Cambisol and Mollic and Umbric Leptosol"
"P0102",3,21.61932236,42.18319474,"Complex of Cambisol, Mollic and Umbric Leptosol and Leptosol"
"P0103",7.29639144814552,21.64642612,42.21516989,"Complex of Cambisol, Mollic and Umbric Leptosol and Leptosol"
"P0105",9.49637870855148,21.58389976,42.11461069,"Chromic Luvisol on saprolite"
"P0106",12.9090412493229,21.59211335,42.03818977,"Complex of Chromic Luvisol on saprolite and Vertisol"
"P0107",19.1481704325069,21.60757489,42.04975088,"Complex of Chromic Luvisol on saprolite and Vertisol"
"P0108",23.4327622475099,21.60792196,42.0316694,"Complex of Vertisol and Humic Calcaric Regosol"
"P0114",17.5768391974411,21.69789262,42.0479857,"Complex of Vertisol and Humic Calcaric Regosol"
"P0115",21,21.72212369,42.03398798,"Complex of Vertisol and Humic Calcaric Regosol"
"P0117",6,21.75935101,42.01816215,"Complex of Chromic Luvisol on saprolite and Humic Calcaric Regosol"
"P0118",17.5858069381599,21.7780753,42.00899692,"Complex of Chromic Luvisol on saprolite and Humic Calcaric Regosol"
"P0120",19.8611570785429,21.80940102,42.02782334,"Complex of Chromic Luvisol on saprolite and Humic Calcaric Regosol"
"P0122",17.408979791395,21.77602994,42.05325537,"Complex of Chromic Luvisol on saprolite and Humic Calcaric Regosol"
"P0123",18.0056857801088,21.80623996,42.08440708,"Complex of Vertisol and Humic Calcaric Regosol"
"P0124",14.3413461538462,21.81918934,42.08662032,"Complex of Vertisol and Humic Calcaric Regosol"
"P0125",21.1408839779006,21.76566915,42.09286031,"Complex of Vertisol and Humic Calcaric Regosol"
"P0126",15,21.77809131,42.22186124,"Complex of Vertisol and Humic Calcaric Regosol"
"P0127",16,21.7612119,42.23851389,"Complex of Vertisol and Humic Calcaric Regosol"
"P0128",16.8731174698795,21.75628448,42.24797312,"Complex of Vertisol and Humic Calcaric Regosol"
"P0130",8,21.8027059,42.24391218,"Complex of Vertisol and Humic Calcaric Regosol"
"P0132",31.6431781045752,21.59903482,42.07297149,"Fluvisol"
"P0164",43.3716162420382,21.67242213,42.06347117,"Chromic Luvisol on saprolite"
"P0165",46.2777355796653,21.68658261,42.07909886,"Vertisol"
"P0197",43.2109375,21.69578966,42.10873763,"Vertisol"
"P0231",29.421875,21.77542712,42.19617425,"Vertisol"
"P0246",34.3073422330097,21.70418099,42.1567659,"Vertisol"
"P0249",34.0721911276949,21.74450692,42.16350709,"Populated Site"
"P0255",29.0055338541667,21.75687829,42.14650838,"Vertisol"
"P0260",34.2225421348315,21.76355527,42.12624199,"Vertisol"
"P0283",22,21.80548106,42.15240794,"Complex of Regosol and Leptosol"
"P0295",24,21.78829902,42.16506028,"Complex of Regosol and Leptosol"
