"id","pH","X","Y","soil"
"P0004",5.53599137931034,20.81464328,42.02746619,"Rendzic Leptosols"
"P0007",5.15253540828816,20.83164687,42.02279237,"Complex of Mollic and Umbric Leptosol"
"P0008",6.77986828512397,20.82036395,42.050138,"Complex of Mollic and Umbric Leptosol"
"P0011",4.69718838542712,20.90421495,42.00988324,"Cambisol"
"P0012",4.52629784789635,20.91869523,42.01554886,"Cambisol"
"P0013",4.36067479770382,20.88516468,42.00945158,"Complex of Mollic and Umbric Leptosol"
"P0015",5,20.87904475,42.0025483,"Complex of Mollic and Umbric Leptosol"
"P0016",5.14811320754717,20.86027284,42.03044806,"Complex of Mollic and Umbric Leptosol"
"P0018",4.684375,20.96512591,42.09252815,"Complex of Mollic and Umbric Leptosol"
"P0019",4.68782051282051,20.99245978,42.0789825,"Cambisol"
"P0020",6.5,20.9693792,42.04615973,"Complex of Cambisol, Mollic and Umbric Leptosol and Leptosol"
"P0021",4.46483848186623,20.97961468,42.10947672,"Complex of Mollic and Umbric Leptosol"
"P0022",5.03289969834087,21.00528514,42.1044093,"Cambisol"
"P0024",6.02212246777164,21.07214379,42.11186886,"Complex of Cambisol, Mollic and Umbric Leptosol and Leptosol"
"P0025",6.3,21.02033792,42.06560129,"Complex of Cambisol, Mollic and Umbric Leptosol and Leptosol"
"P0026",6.03206230758935,21.0057291,42.06668341,"Cambisol"
"P0027",6.89157692766323,21.01649278,42.00885055,"Fluvisol"
"P0028",7.10250474049715,21.06526948,42.01170543,"Fluvisol"
"P0030",5.91540980923643,21.00845375,42.019422,"Fluvisol"
"P0031",6.72905887553387,21.06804184,42.03015278,"Fluvisol"
"P0033",6.35161993228822,21.02528029,42.03572556,"Fluvisol"
"P0034",6.29699339469576,21.0377778,42.05103768,"Fluvisol"
"P0035",6.20574484268008,21.05498286,42.06751674,"Fluvisol"
"P0036",6.12915169797425,21.07326513,42.07753677,"Fluvisol"
"P0038",6.18720654922501,21.10236686,42.03949133,"Fluvisol"
"P0039",5.73499628769085,21.12283801,42.05729886,"Gleysol"
"P0041",6.02841442069688,21.09188211,42.09772786,"Fluvisol"
"P0042",5.73925893886967,21.09524763,42.11697514,"Fluvisol"
"P0043",6.36285985975735,21.11811552,42.13630288,"Fluvisol"
"P0044",7.7,21.1142375,42.01109089,"Rendzic Leptosols"
"P0045",7.9,21.13594528,42.0225562,"Rendzic Leptosols"
"P0049",8,21.24180942,42.03210619,"Rendzic Leptosols"
"P0050",8.36583732778914,21.3109814,42.0160748,"Complex of Vertisol and Humic Calcaric Regosol"
