ProfID,soiltype,X,Y
P0004,Rendzic Leptosols,20.81464328,42.02746619
P0007,Complex of Mollic and Umbric Leptosol,20.83164687,42.02279237
P0008,Complex of Mollic and Umbric Leptosol,20.82036395,42.050138
P0011,Cambisol,20.90421495,42.00988324
P0012,Cambisol,20.91869523,42.01554886
P0013,Complex of Mollic and Umbric Leptosol,20.88516468,42.00945158
P0015,Complex of Mollic and Umbric Leptosol,20.87904475,42.0025483
P0016,Complex of Mollic and Umbric Leptosol,20.86027284,42.03044806
P0018,Complex of Mollic and Umbric Leptosol,20.96512591,42.09252815
P0019,Cambisol,20.99245978,42.0789825
P0020,"Complex of Cambisol, Mollic and Umbric Leptosol and Leptosol",20.9693792,42.04615973
P0021,Complex of Mollic and Umbric Leptosol,20.97961468,42.10947672
P0022,Cambisol,21.00528514,42.1044093
P0024,"Complex of Cambisol, Mollic and Umbric Leptosol and Leptosol",21.07214379,42.11186886
P0025,"Complex of Cambisol, Mollic and Umbric Leptosol and Leptosol",21.02033792,42.06560129
P0026,Cambisol,21.0057291,42.06668341
P0027,Fluvisol,21.01649278,42.00885055
P0028,Fluvisol,21.06526948,42.01170543
P0030,Fluvisol,21.00845375,42.019422
P0031,Fluvisol,21.06804184,42.03015278
P0033,Fluvisol,21.02528029,42.03572556
P0034,Fluvisol,21.0377778,42.05103768
P0035,Fluvisol,21.05498286,42.06751674
P0036,Fluvisol,21.07326513,42.07753677
P0038,Fluvisol,21.10236686,42.03949133
P0039,Gleysol,21.12283801,42.05729886
P0040,Fluvisol,21.11060353,42.07379729
P0041,Fluvisol,21.09188211,42.09772786
P0042,Fluvisol,21.09524763,42.11697514
P0043,Fluvisol,21.11811552,42.13630288
P0044,Rendzic Leptosols,21.1142375,42.01109089
P0045,Rendzic Leptosols,21.13594528,42.0225562
P0049,Rendzic Leptosols,21.24180942,42.03210619
P0050,Complex of Vertisol and Humic Calcaric Regosol,21.3109814,42.0160748
P0051,Complex of Vertisol and Humic Calcaric Regosol,21.30169337,42.03841117
P0052,Complex of Vertisol and Humic Calcaric Regosol,21.30703313,42.05370353
P0056,Complex of Mollic and Umbric Leptosol,21.2237308,42.08740831
P0061,Complex of Mollic and Umbric Leptosol,21.17352048,42.15003513
P0062,Chromic Luvisol on hard limestones,21.14053722,42.15550048
